throughput	time
100103.6	2019-08-28T17:12:10.000Z
105966.7	2019-08-28T17:12:40.000Z
84021.367	2019-08-28T17:13:10.000Z
81896.4	2019-08-28T17:13:40.000Z
82692	2019-08-28T17:14:10.000Z
101020.267	2019-08-28T17:14:40.000Z
77971.766	2019-08-28T17:15:10.000Z
67891.267	2019-08-28T17:15:40.000Z
76544.367	2019-08-28T17:16:10.000Z
78687.134	2019-08-28T17:16:40.000Z
86987.1	2019-08-28T17:17:10.000Z
83612.066	2019-08-28T17:17:40.000Z
92139.467	2019-08-28T17:18:10.000Z
77532.534	2019-08-28T17:18:40.000Z
76493.534	2019-08-28T17:19:10.000Z
79822.133	2019-08-28T17:19:40.000Z
92144.7	2019-08-28T17:20:10.000Z
100679.233	2019-08-28T17:20:40.000Z
92059.4	2019-08-28T17:21:10.000Z
92862.1	2019-08-28T17:21:40.000Z
78219.1	2019-08-28T17:22:10.000Z
87699.867	2019-08-28T17:22:40.000Z
81251.333	2019-08-28T17:23:10.000Z
94761.766	2019-08-28T17:23:40.000Z
124719.433	2019-08-28T17:24:10.000Z
89604.3	2019-08-28T17:24:40.000Z
96382.267	2019-08-28T17:25:10.000Z
100338.733	2019-08-28T17:25:40.000Z
97930.966	2019-08-28T17:26:10.000Z
93237.433	2019-08-28T17:26:40.000Z
86319.833	2019-08-28T17:27:10.000Z
88704.634	2019-08-28T17:27:40.000Z
106047	2019-08-28T17:28:10.000Z
88904.833	2019-08-28T17:28:40.000Z
83405.766	2019-08-28T17:29:10.000Z
82530.567	2019-08-28T17:29:40.000Z
95048.5	2019-08-28T17:30:10.000Z
91677.533	2019-08-28T17:30:40.000Z
83435	2019-08-28T17:31:10.000Z
90263.566	2019-08-28T17:31:40.000Z
84916.067	2019-08-28T17:32:10.000Z
81603	2019-08-28T17:32:40.000Z
74008.466	2019-08-28T17:33:10.000Z
96506.234	2019-08-28T17:33:40.000Z
89734.5	2019-08-28T17:34:10.000Z
88266.467	2019-08-28T17:34:40.000Z
76889.167	2019-08-28T17:35:10.000Z
75892.633	2019-08-28T17:35:40.000Z
72851.2	2019-08-28T17:36:10.000Z
73636.367	2019-08-28T17:36:40.000Z
83355.633	2019-08-28T17:37:10.000Z
89955.7	2019-08-28T17:37:40.000Z
86320.4	2019-08-28T17:38:10.000Z
100331.266	2019-08-28T17:38:40.000Z
81691.5	2019-08-28T17:39:10.000Z
80099.834	2019-08-28T17:39:40.000Z
84330.433	2019-08-28T17:40:10.000Z
86556.667	2019-08-28T17:40:40.000Z
76361.6	2019-08-28T17:41:10.000Z
80567.133	2019-08-28T17:41:40.000Z
90888.366	2019-08-28T17:42:10.000Z
88377.267	2019-08-28T17:42:40.000Z
83979.467	2019-08-28T17:43:10.000Z
82990.567	2019-08-28T17:43:40.000Z
83100.933	2019-08-28T17:44:10.000Z
97124.067	2019-08-28T17:44:40.000Z
92024.133	2019-08-28T17:45:10.000Z
91078.467	2019-08-28T17:45:40.000Z
89681.4	2019-08-28T17:46:10.000Z
89319.666	2019-08-28T17:46:40.000Z
79979.667	2019-08-28T17:47:10.000Z
79417.033	2019-08-28T17:47:40.000Z
87978.667	2019-08-28T17:48:10.000Z
83833.1	2019-08-28T17:48:40.000Z
74887.667	2019-08-28T17:49:10.000Z
100307.934	2019-08-28T17:49:40.000Z
83845.3	2019-08-28T17:50:10.000Z
81374.533	2019-08-28T17:50:40.000Z
85307.3	2019-08-28T17:51:10.000Z
90775.4	2019-08-28T17:51:40.000Z
91249.267	2019-08-28T17:52:10.000Z
89237.933	2019-08-28T17:52:40.000Z
87894.866	2019-08-28T17:53:10.000Z
94199.334	2019-08-28T17:53:40.000Z
92728.434	2019-08-28T17:54:10.000Z
92757.9	2019-08-28T17:54:40.000Z
101961.366	2019-08-28T17:55:10.000Z
104619.167	2019-08-28T17:55:40.000Z
100133.6	2019-08-28T17:56:10.000Z
88690.7	2019-08-28T17:56:40.000Z
95628.5	2019-08-28T17:57:10.000Z
87555.8	2019-08-28T17:57:40.000Z
80622.7	2019-08-28T17:58:10.000Z
82750.167	2019-08-28T17:58:40.000Z
87130.434	2019-08-28T17:59:10.000Z
90048.467	2019-08-28T17:59:40.000Z
76632.4	2019-08-28T18:00:10.000Z
94457.466	2019-08-28T18:00:40.000Z
83202.667	2019-08-28T18:01:10.000Z
81808.033	2019-08-28T18:01:40.000Z
86766.733	2019-08-28T18:02:10.000Z
93160.133	2019-08-28T18:02:40.000Z
